,trans,past_context,gpos,gquat,npss
0,5,0,5.809864,1.6594858,0.0066774525
1,5,1,4.296087,1.6429014,0.023583254
2,5,2,4.9303627,1.5829772,0.013651686
3,5,3,4.527461,1.577686,0.013471657
4,5,4,5.4207067,1.6381391,0.0100066615
5,5,5,4.721801,1.6151742,0.016757634
6,5,6,5.3569074,1.6093653,0.009774275
7,5,7,4.032108,1.6164026,0.010698997
8,5,8,5.2385473,1.6227909,0.026286438
9,15,0,5.469142,1.7289503,0.056157384
10,15,1,5.4415026,1.7645591,0.06620317
11,15,2,5.7803926,1.8305674,0.07304339
12,15,3,5.43626,1.6940682,0.07923864
13,15,4,5.674766,1.6991078,0.07836678
14,15,5,7.3166337,1.7259407,0.102625564
15,15,6,6.7724376,1.8496481,0.073991284
16,15,7,6.739616,1.7363034,0.07036006
17,15,8,5.5091085,1.7412964,0.06874569
18,30,0,7.74105,1.9593585,0.28124675
19,30,1,8.3276,1.9547933,0.25254843
20,30,2,7.800734,1.9341253,0.23988093
21,30,3,9.349401,2.066487,0.29947305
22,30,4,7.6269994,1.9269588,0.37539285
23,30,5,7.783812,1.9761512,0.2629599
24,30,6,8.082532,1.9519546,0.42380518
25,30,7,7.7401733,1.9409974,0.29759285
26,30,8,9.114446,1.9485135,0.26218054
27,45,0,10.123112,2.2089608,0.5046603
28,45,1,10.19458,2.1938293,0.5453106
29,45,2,10.014142,2.190843,0.87046844
30,45,3,10.942744,2.2079864,0.70388347
31,45,4,10.217874,2.1802127,0.48811662
32,45,5,10.211027,2.193873,0.67090535
33,45,6,10.356431,2.193602,0.5402092
34,45,7,10.173391,2.1393466,0.5099263
35,45,8,10.1155405,2.1791341,0.5179847
